-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  41.7557   Longitude -82.4533 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 176.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2012,8.96,7.37,8.24,7.44,5.62,6.6,4.91,4.64,5.88,9.05,6.23,7.75,6.89
WS50M,2013,8.89,8.1,7.72,8.2,7.46,5.94,5.59,5.07,5.97,7.16,9.68,8.19,7.32
WS50M,2014,9.78,7.6,7.86,8.08,6.24,5.72,5.62,5.02,5.44,7.75,9.74,7.5,7.19
WS50M,2015,8.44,7.55,7.19,7.6,6.39,6.15,4.73,5.42,5.94,8.41,8.39,8.3,7.04
WS50M,2016,8.89,8.73,7.55,7.32,6.14,5.88,4.97,5.06,5.93,7.27,8.09,9.22,7.08
WS50M,2017,7.91,8.62,8.72,8.27,7.35,6.93,5.09,5.14,5.26,7.75,8.27,8.05,7.27
WS50M,2018,9.41,8.22,7.82,7.01,6.5,6.31,4.81,5.51,6.05,7.8,7.89,6.91,7.02
WS50M,2019,8.9,8.62,7.49,7.9,6.62,6.21,5.24,5.39,6.0,7.55,7.84,8.27,7.16
WS50M,2020,7.77,7.99,7.74,7.3,7.27,5.81,4.75,5.09,6.73,7.45,9.08,8.41,7.11
WS50M,2021,6.81,7.87,8.21,7.01,6.02,6.34,5.57,4.64,6.9,6.7,8.1,8.13,6.85
WS50M,2022,8.33,9.07,8.12,7.72,7.3,6.14,5.66,5.08,5.89,7.89,8.34,8.71,7.34
ALLSKY_SFC_SW_DWN,2012,1.57,2.59,3.74,4.94,6.15,6.76,6.19,5.53,4.14,2.53,2.02,1.16,3.95
ALLSKY_SFC_SW_DWN,2013,1.72,2.07,3.35,4.44,5.87,5.8,5.36,5.17,4.23,2.94,1.77,1.24,3.67
ALLSKY_SFC_SW_DWN,2014,1.51,2.09,3.38,4.68,5.51,5.98,5.89,5.38,4.36,2.6,1.68,1.19,3.7
ALLSKY_SFC_SW_DWN,2015,1.49,2.16,3.51,4.37,5.32,5.12,5.86,5.44,4.56,2.93,2.31,1.13,3.69
ALLSKY_SFC_SW_DWN,2016,1.55,2.59,3.12,4.42,5.39,6.47,6.09,5.43,4.41,3.16,2.13,1.13,3.83
ALLSKY_SFC_SW_DWN,2017,1.34,2.54,3.36,4.63,5.34,6.06,5.86,5.28,4.51,2.92,1.79,1.31,3.75
ALLSKY_SFC_SW_DWN,2018,1.6,1.99,3.94,4.6,5.58,5.56,6.31,5.08,3.84,2.61,1.26,1.33,3.65
ALLSKY_SFC_SW_DWN,2019,1.45,2.07,3.46,4.24,4.54,5.77,6.46,5.58,4.33,2.96,1.75,1.38,3.68
ALLSKY_SFC_SW_DWN,2020,1.27,2.53,3.01,4.5,5.16,7.04,6.61,5.64,4.22,2.78,2.11,1.15,3.83
ALLSKY_SFC_SW_DWN,2021,1.39,2.21,4.57,4.72,5.65,5.73,5.54,5.46,4.56,2.68,2.08,1.33,3.84
ALLSKY_SFC_SW_DWN,2022,1.7,2.59,3.52,4.51,5.48,6.81,6.22,5.38,4.17,3.24,2.04,1.18,3.91
